attendId,empId,month,year,workDays,absenceDays,overtimeHours,lateCount
ATT0000159,EMP0014,3,2024,22,1,15,3
ATT0000160,EMP0014,4,2024,19,1,12,3
ATT0000161,EMP0014,5,2024,20,1,14,0
ATT0000162,EMP0014,6,2024,22,0,19,3
ATT0000163,EMP0014,7,2024,21,2,10,0
ATT0000164,EMP0014,8,2024,21,3,13,1
ATT0000165,EMP0014,9,2024,21,3,0,2
ATT0000166,EMP0014,10,2024,22,2,14,1
ATT0000167,EMP0014,11,2024,20,3,4,2
ATT0000168,EMP0014,12,2024,19,0,9,0
ATT0000169,EMP0015,1,2024,18,0,19,0
ATT0000170,EMP0015,2,2024,20,0,11,3
ATT0000171,EMP0015,3,2024,20,1,0,1
ATT0000172,EMP0015,4,2024,20,2,0,0
ATT0000173,EMP0015,5,2024,21,0,4,0
ATT0000174,EMP0015,6,2024,18,3,11,1
ATT0000175,EMP0015,7,2024,19,3,19,2
ATT0000176,EMP0015,8,2024,21,1,9,1
ATT0000177,EMP0015,9,2024,21,3,1,0
ATT0000178,EMP0015,10,2024,20,2,14,3
ATT0000179,EMP0015,11,2024,21,0,2,3
ATT0000180,EMP0015,12,2024,20,2,19,0
ATT0000181,EMP0016,1,2024,19,0,7,3
ATT0000182,EMP0016,2,2024,19,2,10,2
ATT0000183,EMP0016,3,2024,21,3,17,0
ATT0000184,EMP0016,4,2024,22,1,14,3
ATT0000185,EMP0016,5,2024,20,0,15,2
ATT0000186,EMP0016,6,2024,18,3,4,1
ATT0000187,EMP0016,7,2024,18,2,12,2
ATT0000188,EMP0016,8,2024,22,0,17,2
ATT0000189,EMP0016,9,2024,21,3,6,3
ATT0000190,EMP0016,10,2024,19,1,0,0
ATT0000191,EMP0016,11,2024,21,0,4,3
ATT0000192,EMP0016,12,2024,21,1,13,2
ATT0000193,EMP0017,1,2024,22,1,4,3
ATT0000194,EMP0017,2,2024,21,2,9,1
ATT0000195,EMP0017,3,2024,19,0,18,1
ATT0000196,EMP0017,4,2024,18,0,5,1
ATT0000197,EMP0017,5,2024,19,3,12,0
ATT0000198,EMP0017,6,2024,18,3,4,3
ATT0000199,EMP0017,7,2024,20,2,6,3
ATT0000200,EMP0017,8,2024,22,3,16,2
ATT0000201,EMP0017,9,2024,20,0,18,3
ATT0000202,EMP0017,10,2024,19,3,7,0
ATT0000203,EMP0017,11,2024,21,2,16,2
ATT0000204,EMP0017,12,2024,21,0,3,2
ATT0000205,EMP0018,1,2024,22,3,18,2
ATT0000206,EMP0018,2,2024,22,2,14,0
ATT0000207,EMP0018,3,2024,22,1,17,2
ATT0000208,EMP0018,4,2024,20,0,18,3
ATT0000209,EMP0018,5,2024,21,0,17,1
ATT0000210,EMP0018,6,2024,21,0,12,2
ATT0000211,EMP0018,7,2024,18,2,0,2
ATT0000212,EMP0018,8,2024,18,0,11,1
ATT0000213,EMP0018,9,2024,18,2,8,0
ATT0000214,EMP0018,10,2024,19,1,2,2
ATT0000215,EMP0018,11,2024,22,2,3,2
ATT0000216,EMP0018,12,2024,18,0,11,1
ATT0000217,EMP0019,1,2024,19,0,5,0
ATT0000218,EMP0019,2,2024,22,0,3,0
ATT0000219,EMP0019,3,2024,22,3,3,2
ATT0000220,EMP0019,4,2024,20,2,12,0
ATT0000221,EMP0019,5,2024,19,0,5,1
ATT0000222,EMP0019,6,2024,22,1,16,1
ATT0000223,EMP0019,7,2024,21,3,10,0
ATT0000224,EMP0019,8,2024,19,0,18,2
ATT0000225,EMP0019,9,2024,20,2,5,3
ATT0000226,EMP0019,10,2024,18,1,14,0
ATT0000227,EMP0019,11,2024,22,3,10,2
ATT0000228,EMP0019,12,2024,22,3,0,2
ATT0000229,EMP0020,1,2024,20,3,0,3
ATT0000230,EMP0020,2,2024,21,2,5,0
ATT0000231,EMP0020,3,2024,19,1,4,2
ATT0000232,EMP0020,4,2024,22,2,4,3
ATT0000233,EMP0020,5,2024,18,2,8,0
ATT0000234,EMP0020,6,2024,22,2,13,2
ATT0000235,EMP0020,7,2024,20,1,1,2
ATT0000236,EMP0020,8,2024,22,1,19,1
ATT0000237,EMP0020,9,2024,21,3,15,2
ATT0000238,EMP0020,10,2024,18,0,8,3
ATT0000239,EMP0020,11,2024,21,3,10,0
ATT0000240,EMP0020,12,2024,20,0,0,0
ATT0000241,EMP0021,1,2024,19,0,14,3
ATT0000242,EMP0021,2,2024,18,0,16,0
ATT0000243,EMP0021,3,2024,19,3,4,0
ATT0000244,EMP0021,4,2024,20,1,20,0
ATT0000245,EMP0021,5,2024,21,0,1,2
ATT0000246,EMP0021,6,2024,20,1,19,3
ATT0000247,EMP0021,7,2024,20,0,17,0
ATT0000248,EMP0021,8,2024,19,2,2,3
ATT0000249,EMP0021,9,2024,18,2,4,2
ATT0000250,EMP0021,10,2024,22,2,20,2
ATT0000251,EMP0021,11,2024,21,1,13,1
ATT0000252,EMP0021,12,2024,19,2,14,1
ATT0000253,EMP0022,1,2024,20,1,4,3
ATT0000254,EMP0022,2,2024,19,2,14,1
ATT0000255,EMP0022,3,2024,22,0,9,2
ATT0000256,EMP0022,4,2024,21,0,7,2
ATT0000257,EMP0022,5,2024,22,2,5,0
ATT0000258,EMP0022,6,2024,18,2,10,0
ATT0000259,EMP0022,7,2024,18,2,8,3
ATT0000260,EMP0022,8,2024,21,2,14,0
ATT0000261,EMP0022,9,2024,18,2,3,2
ATT0000262,EMP0022,10,2024,22,0,19,3
ATT0000263,EMP0022,11,2024,18,3,13,0
ATT0000264,EMP0022,12,2024,19,3,18,0
ATT0000265,EMP0023,1,2024,20,2,2,2
ATT0000266,EMP0023,2,2024,18,2,6,3
ATT0000267,EMP0023,3,2024,22,2,1,2
ATT0000268,EMP0023,4,2024,22,2,3,0
ATT0000269,EMP0023,5,2024,21,3,17,2
ATT0000270,EMP0023,6,2024,18,0,14,2
ATT0000271,EMP0023,7,2024,22,0,8,3
ATT0000272,EMP0023,8,2024,22,2,17,1
ATT0000273,EMP0023,9,2024,20,3,3,3
ATT0000274,EMP0023,10,2024,19,1,11,2
ATT0000275,EMP0023,11,2024,20,3,0,0
ATT0000276,EMP0023,12,2024,19,1,7,1
ATT0000277,EMP0024,1,2024,22,0,8,2
ATT0000278,EMP0024,2,2024,21,3,9,2
ATT0000279,EMP0024,3,2024,21,0,9,0
ATT0000280,EMP0024,4,2024,20,3,12,2
ATT0000281,EMP0024,5,2024,20,2,20,1
ATT0000282,EMP0024,6,2024,20,3,16,3
ATT0000283,EMP0024,7,2024,18,2,6,0
ATT0000284,EMP0024,8,2024,21,2,0,1
ATT0000285,EMP0024,9,2024,19,0,15,1
ATT0000286,EMP0024,10,2024,20,1,8,3
ATT0000287,EMP0024,11,2024,21,1,18,0
ATT0000288,EMP0024,12,2024,20,1,18,2
ATT0000289,EMP0025,1,2024,20,3,12,0
ATT0000290,EMP0025,2,2024,20,0,16,0
ATT0000291,EMP0025,3,2024,20,3,16,1
ATT0000292,EMP0025,4,2024,20,3,13,0
ATT0000293,EMP0025,5,2024,20,0,10,2
ATT0000294,EMP0025,6,2024,18,3,10,1
ATT0000295,EMP0025,7,2024,19,1,10,0
ATT0000296,EMP0025,8,2024,20,3,12,0
ATT0000297,EMP0025,9,2024,19,0,8,0
ATT0000298,EMP0025,10,2024,20,3,13,0
ATT0000299,EMP0025,11,2024,20,3,10,1
ATT0000300,EMP0025,12,2024,22,1,20,3
ATT0000301,EMP0026,1,2024,21,1,2,3
ATT0000302,EMP0026,2,2024,18,0,4,2
ATT0000303,EMP0026,3,2024,21,0,1,1
ATT0000304,EMP0026,4,2024,21,3,4,0
ATT0000305,EMP0026,5,2024,19,3,5,3
ATT0000306,EMP0026,6,2024,22,0,14,2
ATT0000307,EMP0026,7,2024,18,0,18,1
ATT0000308,EMP0026,8,2024,21,1,12,3
ATT0000309,EMP0026,9,2024,18,1,14,3
ATT0000310,EMP0026,10,2024,19,3,3,2
ATT0000311,EMP0026,11,2024,18,3,13,1
ATT0000312,EMP0026,12,2024,21,1,15,3
ATT0000313,EMP0027,1,2024,18,1,13,1
ATT0000314,EMP0027,2,2024,22,1,6,1
ATT0000315,EMP0027,3,2024,22,1,15,1
ATT0000316,EMP0027,4,2024,22,0,13,1
ATT0000317,EMP0027,5,2024,21,3,5,1
ATT0000318,EMP0027,6,2024,22,0,10,0
ATT0000319,EMP0027,7,2024,19,2,20,0
ATT0000320,EMP0027,8,2024,20,1,15,3
ATT0000321,EMP0027,9,2024,18,1,0,2
ATT0000322,EMP0027,10,2024,19,3,11,3
ATT0000323,EMP0027,11,2024,22,0,16,1
ATT0000324,EMP0027,12,2024,22,3,15,0
ATT0000325,EMP0028,1,2024,19,1,19,2
ATT0000326,EMP0028,2,2024,20,3,0,2
ATT0000327,EMP0028,3,2024,20,0,11,0
ATT0000328,EMP0028,4,2024,18,2,20,3
ATT0000329,EMP0028,5,2024,20,2,3,1
ATT0000330,EMP0028,6,2024,20,2,8,3
ATT0000331,EMP0028,7,2024,18,3,10,3
ATT0000332,EMP0028,8,2024,18,0,6,0
ATT0000333,EMP0028,9,2024,19,0,1,1
ATT0000334,EMP0028,10,2024,22,1,2,2
ATT0000335,EMP0028,11,2024,18,2,20,0
ATT0000336,EMP0028,12,2024,21,1,1,1
ATT0000337,EMP0029,1,2024,21,2,10,2
ATT0000338,EMP0029,2,2024,20,0,19,3
ATT0000339,EMP0029,3,2024,19,2,1,1
ATT0000340,EMP0029,4,2024,20,0,10,1
ATT0000341,EMP0029,5,2024,18,1,12,2
ATT0000342,EMP0029,6,2024,21,1,8,2
ATT0000343,EMP0029,7,2024,22,1,14,0
ATT0000344,EMP0029,8,2024,20,2,20,2
ATT0000345,EMP0029,9,2024,21,3,14,1
ATT0000346,EMP0029,10,2024,20,3,14,3
ATT0000347,EMP0029,11,2024,21,0,4,3
ATT0000348,EMP0029,12,2024,21,2,4,3
ATT0000349,EMP0030,1,2024,21,0,7,1
ATT0000350,EMP0030,2,2024,22,0,4,0
ATT0000351,EMP0030,3,2024,19,3,4,3
ATT0000352,EMP0030,4,2024,20,3,9,0
ATT0000353,EMP0030,5,2024,20,3,16,1
ATT0000354,EMP0030,6,2024,22,0,10,3
ATT0000355,EMP0030,7,2024,18,1,6,0
ATT0000356,EMP0030,8,2024,21,0,16,0
ATT0000357,EMP0030,9,2024,22,3,18,0
ATT0000358,EMP0030,10,2024,18,2,18,0
ATT0000359,EMP0030,11,2024,18,3,2,2
ATT0000360,EMP0030,12,2024,20,2,17,2
ATT0000361,EMP0031,1,2024,18,2,7,0
ATT0000362,EMP0031,2,2024,18,1,9,3
ATT0000363,EMP0031,3,2024,21,0,9,2
ATT0000364,EMP0031,4,2024,22,0,1,0
ATT0000365,EMP0031,5,2024,21,0,18,1
ATT0000366,EMP0031,6,2024,21,0,12,3
ATT0000367,EMP0031,7,2024,18,0,19,1
ATT0000368,EMP0031,8,2024,18,0,13,0
ATT0000369,EMP0031,9,2024,20,1,13,3
ATT0000370,EMP0031,10,2024,18,2,18,0
ATT0000371,EMP0031,11,2024,18,2,11,1
ATT0000372,EMP0031,12,2024,21,3,20,0
ATT0000373,EMP0032,1,2024,18,1,4,1
ATT0000374,EMP0032,2,2024,22,0,8,2
ATT0000375,EMP0032,3,2024,21,3,12,0
ATT0000376,EMP0032,4,2024,18,0,19,2
ATT0000377,EMP0032,5,2024,18,3,14,3
ATT0000378,EMP0032,6,2024,21,3,14,3
ATT0000379,EMP0032,7,2024,22,1,8,1
ATT0000380,EMP0032,8,2024,22,3,6,1
ATT0000381,EMP0032,9,2024,18,2,9,1
ATT0000382,EMP0032,10,2024,19,1,10,0
ATT0000383,EMP0032,11,2024,20,1,20,0
ATT0000384,EMP0032,12,2024,21,1,8,3
ATT0000385,EMP0033,1,2024,19,1,15,2
ATT0000386,EMP0033,2,2024,18,1,0,2
ATT0000387,EMP0033,3,2024,19,1,11,1
ATT0000388,EMP0033,4,2024,21,0,3,3
ATT0000389,EMP0033,5,2024,20,3,17,3
ATT0000390,EMP0033,6,2024,22,3,17,0
ATT0000391,EMP0033,7,2024,19,2,17,2
ATT0000392,EMP0033,8,2024,22,2,2,2
ATT0000393,EMP0033,9,2024,18,3,13,0
ATT0000394,EMP0033,10,2024,21,3,7,3
ATT0000395,EMP0033,11,2024,21,1,7,2
ATT0000396,EMP0033,12,2024,22,2,7,1
ATT0000397,EMP0034,1,2024,22,2,7,2
ATT0000398,EMP0034,2,2024,19,3,19,2
ATT0000399,EMP0034,3,2024,19,0,5,3
ATT0000400,EMP0034,4,2024,19,0,10,3
ATT0000401,EMP0034,5,2024,22,2,19,2
ATT0000402,EMP0034,6,2024,18,2,9,1
ATT0000403,EMP0034,7,2024,18,0,5,1
ATT0000404,EMP0034,8,2024,22,3,3,0
ATT0000405,EMP0034,9,2024,18,0,9,2
ATT0000406,EMP0034,10,2024,20,1,19,0
ATT0000407,EMP0034,11,2024,21,1,1,3
ATT0000408,EMP0034,12,2024,18,3,0,3
ATT0000409,EMP0035,1,2024,18,3,12,3
ATT0000410,EMP0035,2,2024,21,3,15,3
ATT0000411,EMP0035,3,2024,20,1,2,3
ATT0000412,EMP0035,4,2024,19,3,6,3
ATT0000413,EMP0035,5,2024,22,1,3,1
ATT0000414,EMP0035,6,2024,20,2,9,1
ATT0000415,EMP0035,7,2024,19,3,1,0
ATT0000416,EMP0035,8,2024,20,2,8,2
ATT0000417,EMP0035,9,2024,21,3,15,2
ATT0000418,EMP0035,10,2024,18,2,16,1
ATT0000419,EMP0035,11,2024,22,2,14,0
ATT0000420,EMP0035,12,2024,22,2,15,1
ATT0000421,EMP0036,1,2024,20,3,6,3
ATT0000422,EMP0036,2,2024,20,1,6,1
ATT0000423,EMP0036,3,2024,21,1,10,0
ATT0000424,EMP0036,4,2024,21,3,8,1
ATT0000425,EMP0036,5,2024,22,1,13,0
ATT0000426,EMP0036,6,2024,21,1,4,3
ATT0000427,EMP0036,7,2024,21,1,13,3
ATT0000428,EMP0036,8,2024,21,0,7,3
ATT0000429,EMP0036,9,2024,21,3,12,0
ATT0000430,EMP0036,10,2024,19,2,14,1
ATT0000431,EMP0036,11,2024,18,0,15,1
ATT0000432,EMP0036,12,2024,18,3,1,2
ATT0000433,EMP0037,1,2024,21,0,5,2
ATT0000434,EMP0037,2,2024,18,2,14,1
ATT0000435,EMP0037,3,2024,20,3,20,3
ATT0000436,EMP0037,4,2024,18,1,16,2
ATT0000437,EMP0037,5,2024,21,1,0,2
ATT0000438,EMP0037,6,2024,19,1,0,1
ATT0000439,EMP0037,7,2024,20,0,2,3
ATT0000440,EMP0037,8,2024,22,2,0,2
ATT0000441,EMP0037,9,2024,22,0,1,0
ATT0000442,EMP0037,10,2024,21,1,14,2
ATT0000443,EMP0037,11,2024,19,1,20,1
ATT0000444,EMP0037,12,2024,20,3,16,3
ATT0000445,EMP0038,1,2024,19,3,3,1
ATT0000446,EMP0038,2,2024,22,2,20,1
ATT0000447,EMP0038,3,2024,18,3,13,3
ATT0000448,EMP0038,4,2024,19,2,13,1
ATT0000449,EMP0038,5,2024,18,3,12,1
ATT0000450,EMP0038,6,2024,18,2,11,1
ATT0000451,EMP0038,7,2024,19,0,13,1
ATT0000452,EMP0038,8,2024,22,3,9,0
ATT0000453,EMP0038,9,2024,18,3,2,2
ATT0000454,EMP0038,10,2024,18,2,11,0
ATT0000455,EMP0038,11,2024,19,1,7,2
ATT0000456,EMP0038,12,2024,18,1,17,3
ATT0000457,EMP0039,1,2024,19,1,15,3
ATT0000458,EMP0039,2,2024,22,0,3,0
ATT0000459,EMP0039,3,2024,21,2,0,3
ATT0000460,EMP0039,4,2024,20,0,16,0
ATT0000461,EMP0039,5,2024,19,3,12,0
ATT0000462,EMP0039,6,2024,18,0,14,2
ATT0000463,EMP0039,7,2024,21,1,5,3
ATT0000464,EMP0039,8,2024,21,3,6,1
ATT0000465,EMP0039,9,2024,21,2,9,3
ATT0000466,EMP0039,10,2024,19,2,9,2
ATT0000467,EMP0039,11,2024,19,2,1,0
ATT0000468,EMP0039,12,2024,21,2,3,3
ATT0000469,EMP0040,1,2024,21,0,0,3
ATT0000470,EMP0040,2,2024,22,2,11,0
ATT0000471,EMP0040,3,2024,21,2,19,0
ATT0000472,EMP0040,4,2024,20,1,12,1
ATT0000473,EMP0040,5,2024,18,2,12,3
ATT0000474,EMP0040,6,2024,18,1,6,1
ATT0000475,EMP0040,7,2024,18,0,18,2
ATT0000476,EMP0040,8,2024,19,3,14,1
ATT0000477,EMP0040,9,2024,20,0,5,0
ATT0000478,EMP0040,10,2024,21,2,8,2
ATT0000479,EMP0040,11,2024,19,3,18,0
ATT0000480,EMP0040,12,2024,21,3,1,2
ATT0000481,EMP0041,1,2024,20,0,3,1
ATT0000482,EMP0041,2,2024,22,2,10,2
ATT0000483,EMP0041,3,2024,22,0,17,3
ATT0000484,EMP0041,4,2024,22,2,19,3
ATT0000485,EMP0041,5,2024,22,1,5,2
ATT0000486,EMP0041,6,2024,21,0,14,2
ATT0000487,EMP0041,7,2024,18,3,5,3
ATT0000488,EMP0041,8,2024,22,3,10,3
ATT0000489,EMP0041,9,2024,22,0,13,1
ATT0000490,EMP0041,10,2024,20,2,2,1
ATT0000491,EMP0041,11,2024,20,0,17,3
ATT0000492,EMP0041,12,2024,22,0,6,2
ATT0000493,EMP0042,1,2024,18,3,13,2
ATT0000494,EMP0042,2,2024,18,0,17,0
ATT0000495,EMP0042,3,2024,19,2,12,0
ATT0000496,EMP0042,4,2024,21,3,9,0
ATT0000497,EMP0042,5,2024,19,0,10,1
ATT0000498,EMP0042,6,2024,18,3,6,3
ATT0000499,EMP0042,7,2024,19,2,7,1
ATT0000500,EMP0042,8,2024,19,2,10,2
ATT0000501,EMP0042,9,2024,21,1,10,0
ATT0000502,EMP0042,10,2024,18,0,17,0
ATT0000503,EMP0042,11,2024,19,1,4,2
ATT0000504,EMP0042,12,2024,20,2,10,2
ATT0000505,EMP0043,1,2024,18,0,11,0
ATT0000506,EMP0043,2,2024,20,1,0,3
ATT0000507,EMP0043,3,2024,22,0,5,2
ATT0000508,EMP0043,4,2024,19,3,8,1
ATT0000509,EMP0043,5,2024,20,0,5,1
ATT0000510,EMP0043,6,2024,22,3,15,0
ATT0000511,EMP0043,7,2024,19,3,7,2
ATT0000512,EMP0043,8,2024,22,2,8,3
ATT0000513,EMP0043,9,2024,20,1,1,1
ATT0000514,EMP0043,10,2024,19,1,6,0
ATT0000515,EMP0043,11,2024,22,3,10,0
ATT0000516,EMP0043,12,2024,18,1,7,3
ATT0000517,EMP0044,1,2024,22,0,18,1
ATT0000518,EMP0044,2,2024,22,0,2,0
ATT0000519,EMP0044,3,2024,22,0,16,0
ATT0000520,EMP0044,4,2024,19,0,4,0
ATT0000521,EMP0044,5,2024,18,2,4,3
ATT0000522,EMP0044,6,2024,19,1,17,0
ATT0000523,EMP0044,7,2024,21,0,2,1
ATT0000524,EMP0044,8,2024,20,0,1,1
ATT0000525,EMP0044,9,2024,18,0,0,3
ATT0000526,EMP0044,10,2024,22,2,11,3
ATT0000527,EMP0044,11,2024,21,0,18,2
ATT0000528,EMP0044,12,2024,18,3,16,1
ATT0000529,EMP0045,1,2024,20,2,13,1
ATT0000530,EMP0045,2,2024,20,3,9,0
ATT0000531,EMP0045,3,2024,22,2,6,1
ATT0000532,EMP0045,4,2024,19,3,20,1
ATT0000533,EMP0045,5,2024,20,2,1,0
ATT0000534,EMP0045,6,2024,22,2,11,0
ATT0000535,EMP0045,7,2024,21,2,2,2
